Dataset Name,Country Code,State Code,Institution,Source ,Source URL,Number of Participants,# of samples,Disease category,Diagnoses Represented,Speech Task(s),Language,Speakers details,Demographics, Accessibility,Access instructions,License Type
ACWT Corpus,USA,TX,Aphasia Center of West Texas,AphasiaBank,https://aphasia.talkbank.org/access/English/Protocol/ACWT.html,12,Not reported,Neuro,Aphasia,"free speech, prompted speech",English,Aphasia: 12,Not reported,Safeguarded,"Access to the data in AphasiaBank is password protected and restricted to members of the AphasiaBank consortium group. 
Read the Ground Rules and then send email to macw@cmu.edu with contact information and affiliation. Please include a brief general statement about how you envision using the data. ",Creative Commons CC BY-NC-SA 3.0
Adler Corpus,USA,NJ,Adler Center,AphasiaBank,https://aphasia.talkbank.org/access/English/Protocol/Adler.html,25,Not reported,Neuro,Aphasia,"free speech, prompted speech",English,Aphasia: 25,Not reported,Safeguarded,"Access to the data in AphasiaBank is password protected and restricted to members of the AphasiaBank consortium group. 
Read the Ground Rules and then send email to macw@cmu.edu with contact information and affiliation. Please include a brief general statement about how you envision using the data. ",Creative Commons CC BY-NC-SA 3.0
Adler Script Corpus,USA,NJ,Adler Center,AphasiaBank,https://aphasia.talkbank.org/access/English/Other/Script/Adler.html,6,Not reported,Neuro,Aphasia,"free speech, prompted speech, reading",English,Aphasia: 6,"age, gender, education, handedness",Safeguarded,"Access to the data in AphasiaBank is password protected and restricted to members of the AphasiaBank consortium group. 
Read the Ground Rules and then send email to macw@cmu.edu with contact information and affiliation. Please include a brief general statement about how you envision using the data. ",Creative Commons CC BY-NC-SA 3.0
Advanced Voice Function Assessment Databases (AVFAD),PRT,,University of Aveiro,Advanced Communication and Swallowing Assessment (ACSA),https://acsa.web.ua.pt/AVFAD.htm,709,8648,Voice,"Dysphonia (various), Control","free speech, reading, sustained vowel",Portuguese,"Voice Disorders: 346, Controls: 363","gender, age, language",Safeguarded,Contact PI,Not reported
ALS Voice Data Set,BLR,,Republican Research and Clinical Center of Neurology and Neurosurgery,GitHub,https://github.com/Mak-Sim/Troparion/tree/master/SPA2019,54,Not reported,Neuro,Amyotrophic Lateral Sclerosis (ALS),sustained vowel,Not reported,"ALS: 15, Controls: 39","age, sex",Open,Data is downloadable from landing page,Mozilla Public License Version 2.0
APROCSA Corpus,USA,TN,Vanderbilt University,AphasiaBank,https://aphasia.talkbank.org/access/English/Protocol/APROCSA-access/APROCSA.html,6,Not reported,Neuro,Aphasia,"free speech, prompted speech",English,Aphasia: 6,"age, sex, handedness, education, race",Safeguarded,"Access to the data in AphasiaBank is password protected and restricted to members of the AphasiaBank consortium group. 
Read the Ground Rules and then send email to macw@cmu.edu with contact information and affiliation. Please include a brief general statement about how you envision using the data. ",Creative Commons CC BY-NC-SA 3.0
Arabic Voice Pathology Database (AVPD),SAU,,King Abdulaziz University Hospital/King Saud University,"Mesallam, T. A., Farahat, M., Malki, K. H., Alsulaiman, M., Ali, Z., Al-Nasheri, A., & Muhammad, G. (2017). Development of the Arabic Voice Pathology Database and its evaluation by using speech features and machine learning algorithms. Journal of Healthcare Engineering, 2017(1), 8783751.",https://onlinelibrary.wiley.com/doi/10.1155/2017/8783751,366,Not reported,Voice,"Dysphonia (various), Control","reading, sustained vowel",Arabic,"Voice Disorders: 178, Controls: 188","gender, age, smoking habits",Safeguarded,Contact corresponding author,Creative Commons CC BY 4.0
Audio-visual depressive language corpus (AViD-Corpus),DEU,,Various,GitHub,https://github.com/chkche1/avec2013,292,340,Mood,"Depression, Control","free speech, prompted speech, reading, sustained vowel",German,Depression: 292,Not reported,Open,Data is downloadable from landing page,Not reported
Boston University Corpus,USA,MA,Boston University's Aphasia Resource Center,AphasiaBank,https://aphasia.talkbank.org/access/English/Protocol/BU.html,12,Not reported,Neuro,Aphasia,"free speech, prompted speech",English,Aphasia: 12,Not reported,Safeguarded,"Access to the data in AphasiaBank is password protected and restricted to members of the AphasiaBank consortium group. 
Read the Ground Rules and then send email to macw@cmu.edu with contact information and affiliation. Please include a brief general statement about how you envision using the data. ",Creative Commons CC BY-NC-SA 3.0
BU Aphasia Group Corpus,USA,MA,Boston University's Aphasia Resource Center,AphasiaBank,https://aphasia.talkbank.org/access/English/Group/BU.html,6,Not reported,Neuro,Aphasia,"free speech, prompted speech",English,Aphasia: 6,"age, education",Safeguarded,"Access to the data in AphasiaBank is password protected and restricted to members of the AphasiaBank consortium group. 
Read the Ground Rules and then send email to macw@cmu.edu with contact information and affiliation. Please include a brief general statement about how you envision using the data. ",Creative Commons CC BY-NC-SA 3.0
Cambridge Cookie-Theft Corpus,GBR,,University of Cambridge,"Williams, C., Thwaites, A., Buttery, P., Geertzen, J., Randall, B., Shafto, M. A., ... & Tyler, L. K. (2010, May). The Cambridge Cookie-Theft Corpus: A Corpus of Directed and Spontaneous Speech of Brain-Damaged Patients and Healthy Individuals. In LREC (pp. 2824-2830).",http://www.lrec-conf.org/proceedings/lrec2010/pdf/327_Paper.pdf,354,532,Neuro,"Brain Damage (various), Control","free speech, prompted speech",English,"Neurological Disorders: 110 (Cookie Thief Task: 99 different patients, Free Speech Task: 89 different patients, * 78 patients completed both tasks), Controls: 244 (Cookie Thief Task: 222 different Controls, Free Speech Task: 82 different Controls, * 60 Controls completed both tasks)","age, sex",Safeguarded,Contact corresponding author,Not reported
